,listing_id,id,date,reviewer_id,reviewer_name,comments,key_words
84,6993502,65721079,3/16/2016,14371618,Emily,"Yu's place is fantastic. The location is central to everything you might want to do in NYC: close to Times Sq, blocks away from great restaurants and shopping, easy access to subways. The apartment itself is clean, quiet and modern. I was actually out of the apartment for the majority of my trip, but Yu was a great host: always checking in  to see if I needed anything.  I'd def stay here again!","yu, fantastic, central, nyc, close, away, great, easy, subway, apartment, clean, quiet, modern, actually, apartment, yu, great, always, def"
85,6993502,66763191,3/24/2016,20842808,Cristina,"It was the first time with Airbnb and Yu has been a very good host. The room was clean as decribed and in a good position because Penn Station is so near. The check-in was easy as the check-out thanks a good communication between guest and host. According to me only the bed was not so confortable and kitchen could be more furneshed for guests, but never mind.
In the end there was only one negative aspect but NOT because of Yu: I don't know why on the ground floor of the apartment building rubbish wasn't taken away for 7days emitting not a good smell. I SUGGEST YU's ACCOMODATION!","first, airbnb, yu, good, clean, good, easy, good, confortable, never, negative, rubbish, good"
86,6993502,67210807,3/27/2016,15656521,Carmen,"Yu was a helpful host, and respected the privacy. Location was really good, couldn't ask for more.  ","yu, helpful, really, good"
87,6993502,68507046,4/5/2016,6812088,Yiu Sum,"The room was clean, and the location was fantastic near the Penn Station. Check-in and check-out was easy, and Yu was very flexible with timings. I had some lock issues and Yu was unavailable via his preferred mode of communication till I called him 5 hours later, which was slightly unfortunate. Remember to test your keys once checking in to ensure he's available. The house is located on the second floor with stairs, and your luggage weight might be a consideration. Overall, recommended for a fuss-free stay and for a great location. ","clean, fantastic, penn, easy, flexible, unavailable, preferred, slightly, unfortunate, available, second, overall, recommended, great"
88,6993502,69139700,4/9/2016,2870800,Erme,"Yu's apartment has a good location , if you are looking for something fancy this place is not for you, we had a clean place, close to everything in midtown for a 2 days stay ...

Recommended for a short period

Thanks","yu, good, fancy, clean, close, midtown, short"
89,6993502,70277234,4/17/2016,25376698,Brandon,This room was very small but my wife and I only needed it add a place to sleep.  We were close to everything and got to see some of the Chelsea area. Yu keeps a very clean apt. My wife arrived a few hours after I did but she never met him.,"small, add, close, see, chelsea, clean, apt, never"
90,6993502,71663799,4/27/2016,5423729,Alan,"Yu was very nice and helpful, I didn't see him at all after check-in. The apartment was in a great location ","nice, helpful, great"
91,6993502,74176812,5/13/2016,58047625,Audrey,Appartement très propre et très bien localisé. Yu est très sympa. Il y a tout ce dont on a besoin. C'est calme et central. L'appartement est comme sur les photos. Je recommande! ,"et, central"
92,6993502,75567943,5/22/2016,27590929,Chao,"The location is impeccable, one block away from Penn Station and subway. The room is clean and minimal, with everything I really need, a bed, a shelf to hang my clothes, a mini table and a garbage bin. Since no shoes are allowed in the apartment, it's pretty clean everywhere. Yu was very friendly and helpful.
It can be noisy at night, it's close to the street, be sure to bring your earplugs. Overall I'm very satisfied with the experience.","impeccable, away, penn, clean, minimal, really, table, pretty, clean, everywhere, yu, friendly, helpful, noisy, close, sure, bring, overall"
93,6993502,77760402,6/3/2016,52947843,Marion,"Appartement très bien situé pour un premier séjour à New York ! Il correspond à la description : rudimentaire mais propre et calme. Dommage qu'on ne puisse plus cuisiner.
Yu est très sympathique. Nous recommandons!!","pour, un, new, ne, nous"
94,6993502,78883975,6/9/2016,4352455,Justin,Yu was a wonderful host. Apartment was clean and very quiet. I will definitely try to stay here again for future visits,"yu, wonderful, clean, quiet, definitely, stay, future"
95,6993502,84920622,7/9/2016,60557906,Buddhi,"Good place, clean room and bathroom. you get good privacy and a private room which you can lock. convenient location, close to the subway, Penn station, supermarkets and other stores.

Only con - The room is a little small.

I would recommend this place.","good, clean, good, private, close, subway, little, small"
96,6993502,94238684,8/15/2016,4040117,Brian,Great! ,great
97,6993502,96361985,8/22/2016,47336995,Mario,"Yu was a nice host, he was really nice. He was always taking care of us and ensuring that we were ok.
I recommend him.","nice, really, nice, always, u, ok"
98,6993502,97240381,8/26/2016,1204975,Pierce,"Yu was very nice. He communicated with me the day of and made sure I had no problem accessing to the apartment upon my arrival. We had a chance to speak the first evening after he came from work. The unit is in a very good location. It was on the 2nd floor, so it was easy getting into and out of the apartment. Unfortunately, I was slightly disappointed. The bed was OK, but given the price point of the stay, I was willing to deal with it. I given one super thin pillow, not the two shown the photos. I was not given a real blanket to use(certainly not what was shown in the picture), but rather than a thin bed sheet usually put underneath a blanket. I was given a hand towel for my stay, which I found odd. I had to ask for a full sized towel for showering purposes, which Yu provided upon request. It is these little things that I makes me wonder if the host is really considering the comfort of their guests. I worked during the day, so all I care about is resting at night. While I think Yu was super friendly, I would not stay there again due to the inconsistency between the pictures and what I experienced first hand. ","nice, sure, arrival, first, good, easy, unfortunately, slightly, disappointed, ok, willing, real, certainly, rather, thin, bed, usually, underneath, odd, full, purpose, little, really, friendly, due, first"
99,6993502,97875819,8/28/2016,15249149,Doug,Convenient and clean. Check-in and check-out were easy.,"convenient, clean"
100,6993502,99402648,9/4/2016,84608119,Aarthi,"Yu was a very good host. The room and apartment is very clean. very close to Penn station which gives an easy access to all main places and tourist attractions. 

But faced little problem with check in timing. Though Yu accepted my early check-in request, he totally forgot about it on the day I moved in. Had to wait for 2.5 hours to get the room ready.

The place is ok for 1 or 2 nights CRASH for those who come into the city for business and nothing more. The room is very small and not comfortable if you move in with large luggages. Laundry is not in house as posted. Someone comes to pick it up from you if contacted through phone by Yu. Room was unbearably hot - no fan or Air conditioning (Air conditioning was in the living room only). WiFi was a shared one from the downstair Cafe's. So had to struggle with the weak signals in both phone and laptop. Was not feeling safe as I had to encounter those weirdos on the door step of the building while entering and exiting. First time in NYC, I didn't feel safe  facing them. I MOVED OUT of the place after coupla nights (yes, risked the loss of my week's payment) to another better Airbnb accommodation in a different and safe neighborhood. Cooking is not allowed which was mentioned to me after I moved in (Laundry and Kitchen usage mattered to me since I planned to stay here for a week). ","yu, good, clean, close, penn, easy, main, little, yu, early, totally, forgot, wait, ready, ok, small, comfortable, large, unbearably, hot, cafe, weak, signal, laptop, safe, door, first, nyc, safe, yes, airbnb, different, safe, kitchen"
101,6993502,102538342,9/18/2016,36344675,Christine,"Yu is a nice guy, who responds to your messages. Quiet, helpfull, he respects your space and you can also discuss with him.The photos reflect the location, so I had no bad surprise at my arrival. As I came late in NYC, Yu couldn't be there for the check-in but he find an easy solution. The bathroom is nice. The appartement is perfect localed, nices restaurants and bars around and makes very easy to visit New York. ","nice, quiet, also, bad, late, easy, nice, nice, around, easy, visit, new"
